production_budget_usd	worldwide_gross_usd
237000000	2923706026
400000000	2794731755
460000000	2291729882
200000000	2222985568
306000000	2064615817
300000000	2048359754
200000000	1910048245
215000000	1669963641
260000000	1647733638
225000000	1515100211
190000000	1514553486
170000000	1481741935
150000000	1437862795
365000000	1395316979
200000000	1336494320
262000000	1331635141
125000000	1316278261
170000000	1308323302
160000000	1268697483
150000000	1257909889
200000000	1242805359
250000000	1236703796
200000000	1215392272
74000000	1157271759
250000000	1151899586
160000000	1143758700
160000000	1132107522
175000000	1129576094
195000000	1123794079
94000000	1120210896
200000000	1110526981
210000000	1104054072
230000000	1082228107
200000000	1073064540
275000000	1072767997
200000000	1068879522
225000000	1066179725
200000000	1055083596
182000000	1046587513
379000000	1045713802
63000000	1045573035
75000000	1032809657
115000000	1027044677
200000000	1025491110
200000000	1025006125
200000000	1014938545
185000000	1006234167
165000000	1003775632
150000000	1002462578
79300000	986193783
76000000	975216835
125000000	965043494
90000000	961632807
300000000	960996492
250000000	959358436
175000000	953535821
200000000	952224986
125000000	951767705
80000000	940452275
250000000	940323039
150000000	939619849
94000000	936094852
70000000	935253978
250000000	929411069
94000000	919148764
258000000	894860230
93000000	891216824
150000000	886742787
90000000	886686817
75000000	885302500
95000000	879765137
300000000	879077344
175000000	878271291
100000000	874954530
263000000	872395091
200000000	869087963
130000000	864868047
116000000	856081053
175000000	850566343
180000000	850482778
115000000	848998877
210000000	836519699
136200000	829724737
139000000	821706375
150000000	817691766
75000000	817400878
180000000	811724385
160000000	807330936
125000000	798210215
175000000	797660271
230000000	794861794
200000000	794697557
130000000	789592708
160000000	789300444
178000000	787176729
185000000	786635413
110000000	786362370
170000000	770882395
125000000	767820459
200000000	767479956
125000000	766575131
250000000	760928081
200000000	760732926
250000000	759959662
180000000	758536735
220000000	757890267
200000000	757677748
165000000	756244673
200000000	747862775
145000000	746921271
175000000	745744980
200000000	743455810
150000000	738576929
175000000	731463377
160000000	728537960
200000000	720752238
180000000	720539572
170000000	714401889
170000000	710644566
200000000	708996336
151000000	708272592
68000000	706102828
117000000	699072066
145000000	694713230
150000000	688858992
127500000	686271489
110000000	685710761
80000000	677923379
165000000	676343174
225000000	667999518
150000000	664837547
115000000	656695615
300000000	655945209
140000000	654310819
215000000	654213485
108000000	653609107
75000000	651899282
200000000	648455339
165000000	648415024
165000000	648082655
160000000	647396133
150000000	644602516
130000000	631910531
92000000	631441092
75000000	631064182
150000000	630733008
125000000	630163454
150000000	626549695
150000000	624234272
130000000	623144660
170000000	621156389
120000000	619310368
75000000	618638999
145000000	614586270
127000000	614202315
132000000	606836535
217000000	602893340
150000000	599680774
102000000	594420216
230000000	591692078
90000000	587790539
80000000	586764305
150000000	585532684
186000000	585171547
260000000	583777242
110000000	579446407
150000000	579055653
135000000	573068425
110000000	563749323
185000000	561072059
115000000	560483719
200000000	560155383
75000000	556559566
125000000	555840117
130000000	554987477
185000000	554606532
140000000	554600000
207000000	550517357
120000000	549588516
69000000	543464573
178000000	542537546
95000000	542351353
125000000	535663443
135000000	532938302
180000000	532508025
190000000	531861650
175000000	529290830
160000000	529076069
125000000	527909949
65000000	527706567
178000000	527267828
72500000	527071022
60720000	525018479
129000000	521533238
140000000	521170825
130000000	518858449
60000000	516567575
100000000	515376182
75000000	512777932
150000000	512390011
90000000	511358276
110000000	501546922
90000000	498438212
165000000	496511521
88000000	495700000
165000000	494870992
125000000	493214888
130000000	492846291
150000000	490875846
200000000	490359051
152000000	489592267
185000000	489181357
90000000	487519809
110000000	486124090
65000000	485035085
125000000	485004754
81000000	484468608
150000000	483152040
150000000	475825484
93000000	470986200
80000000	469747882
60000000	468084718
155000000	468043852
70000000	467563955
190000000	467381584
65000000	465974198
102000000	465195589
200000000	462633350
70000000	461630558
210000000	459260946
80000000	457697994
140000000	456810575
103000000	456435588
110000000	456258539
60000000	454161935
85000000	450728529
100000000	449841566
150000000	449326618
151500000	449239853
145000000	448191819
80000000	446109612
130000000	444043396
70000000	443483213
140000000	441767803
160000000	438899824
65000000	438420442
98000000	435040395
170000000	433058296
150000000	432224634
155000000	432150894
142000000	431942139
84000000	431548346
150000000	429061724
120000000	427947217
150000000	427300260
85000000	427230516
90000000	424471663
155000000	418186950
225000000	417341288
115000000	416456852
80000000	416385488
120000000	416168316
190000000	411002906
195000000	409953905
104000000	408803696
70702619	408250578
125000000	406348630
175000000	405760225
85000000	404655292
94000000	404561724
200000000	404560145
125000000	402448265
90000000	402407997
150000000	402231063
105000000	402156682
170000000	401900040
200000000	401731759
170000000	401021746
120000000	400689914
200000000	399866199
150000000	399387745
75000000	399165687
275000000	393151347
165000000	391774790
200000000	391261706
232000000	391081192
100000000	389816136
100000000	389140440
140000000	386839614
65000000	386116343
130000000	385997896
85000000	385000315
165000000	384169424
175000000	383541369
170000000	383299914
110000000	382288147
175000000	381687380
200000000	379751131
85000000	378119469
90000000	377426903
125000000	376000000
140000000	375740705
90000000	375464627
150000000	374825760
65000000	374105123
130000000	373993951
75000000	371741123
140000000	370569776
205000000	367262558
61000000	367160781
178000000	367028980
132000000	366942531
90000000	366101666
93000000	365900000
150000000	365769378
200000000	365491792
100000000	365300000
85000000	363563907
110000000	362989076
100000000	362211740
103000000	362000072
135000000	361730660
205000000	360240189
85000000	359347833
150000000	358858124
102000000	358824714
60000000	356429933
127500000	356148063
160000000	355408305
127000000	353756621
190000000	353640419
170000000	353166307
130000000	352831065
73000000	352288341
70000000	351500000
67500000	350976753
87000000	350100280
80000000	349464664
80000000	349088523
180000000	348902025
130000000	348901032
105000000	348629585
110000000	348547523
90000000	347425832
123000000	345445403
85000000	345033359
80000000	343397247
125000000	343242613
75000000	342769200
75000000	342416460
85000000	340384141
110000000	339504276
100000000	336529144
200000000	336359676
75000000	336069511
65000000	335802271
185000000	335673708
150000000	334486852
187500000	333771037
87500000	333132750
100000000	331323410
